preference,radius,percent_hetero,segregation,num_steps,city_size
0.2,5,0.0,0.5550307348527276,0,50
0.2,5,0.0,0.55554331392944,0,50
0.2,5,0.1,0.5431522116646136,10000,50
0.2,5,0.1,0.5467595327813043,10000,50
0.2,5,0.1,0.548241024020383,10000,50
0.2,5,0.1,0.5518401954141325,10000,50
0.2,5,0.1,0.5524954247265573,10000,50
0.2,5,0.2,0.5467834986448795,10000,50
0.2,5,0.2,0.5488087040478895,10000,50
0.2,5,0.2,0.5490998746477053,10000,50
0.2,5,0.2,0.5526193071475958,10000,50
0.2,5,0.2,0.5529023494506294,10000,50
0.2,5,0.30000000000000004,0.542629947577527,10000,50
0.2,5,0.30000000000000004,0.5497152703342164,10000,50
0.2,5,0.30000000000000004,0.549865914911274,10000,50
0.2,5,0.30000000000000004,0.5523624992174538,10000,50
0.2,5,0.30000000000000004,0.5525166036501034,10000,50
0.2,5,0.4,0.5456583110857791,10000,50
0.2,5,0.4,0.5459725199895553,10000,50
0.2,5,0.4,0.5478370676976021,10000,50
0.2,5,0.4,0.548898132475011,10000,50
0.2,5,0.4,0.5524069429661984,10000,50
0.2,5,0.5,0.5457721794117572,10000,50
0.2,5,0.5,0.5464599711492477,10000,50
0.2,5,0.5,0.5472430982034596,10000,50
0.2,5,0.5,0.5549079457236391,10000,50
0.2,5,0.5,0.5571288288700084,10000,50
0.2,5,0.6000000000000001,0.5432743673021686,10000,50
0.2,5,0.6000000000000001,0.5460569470931202,10000,50
0.2,5,0.6000000000000001,0.5477160380115358,10000,50
0.2,5,0.6000000000000001,0.5513482049787615,10000,50
0.2,5,0.6000000000000001,0.5529529168794826,10000,50
0.2,5,0.7000000000000001,0.5488899900406364,10000,50
0.2,5,0.7000000000000001,0.5498735033451921,10000,50
0.2,5,0.7000000000000001,0.5510081816259794,10000,50
0.2,5,0.7000000000000001,0.5516154709685898,10000,50
0.2,5,0.7000000000000001,0.5519792469224767,10000,50
0.2,5,0.8,0.5442874910896661,10000,50
0.2,5,0.8,0.5503949456870869,10000,50
0.2,5,0.8,0.5508682563190929,10000,50
0.2,5,0.8,0.551955324212513,10000,50
0.2,5,0.8,0.5535408816135747,10000,50
0.2,5,0.9,0.5412202057052892,10000,50
0.2,5,0.9,0.5427892796296929,10000,50
0.2,5,0.9,0.5487533631240249,10000,50
0.2,5,0.9,0.5503535459482427,10000,50
0.2,5,0.9,0.551688351260786,10000,50
0.2,6,0.0,0.5457990880517185,0,50
0.2,6,0.0,0.5481571089776942,0,50
0.2,6,0.0,0.5483584748291749,0,50
0.2,6,0.0,0.5505512458605394,0,50
0.2,6,0.0,0.5522676957814443,0,50
0.2,6,0.1,0.5406570509563302,10000,50
0.2,6,0.1,0.5471325828572335,10000,50
0.2,6,0.1,0.5490444311124058,10000,50
0.2,6,0.1,0.5519724003745046,10000,50
0.2,6,0.1,0.5532748007582986,10000,50
0.2,6,0.2,0.5450103361655565,10000,50
0.2,6,0.2,0.5459193164747412,10000,50
0.2,6,0.2,0.5496362233768756,10000,50
0.2,6,0.2,0.5504415896683389,10000,50
0.2,6,0.2,0.5539524304910378,10000,50
0.2,6,0.30000000000000004,0.5473291523089383,10000,50
0.2,6,0.30000000000000004,0.5489731061860218,10000,50
0.2,6,0.30000000000000004,0.5511774693240786,10000,50
0.2,6,0.30000000000000004,0.5514708644817928,10000,50
0.2,6,0.30000000000000004,0.5528136733076238,10000,50
0.2,6,0.4,0.5444709158102874,10000,50
0.2,6,0.4,0.5452071383641937,10000,50
0.2,6,0.4,0.5466191679241716,10000,50
0.2,6,0.4,0.5487857531124831,10000,50
0.2,6,0.4,0.550231335321362,10000,50
0.2,6,0.5,0.5461618290853315,10000,50
0.2,6,0.5,0.5486621232065729,10000,50
0.2,6,0.5,0.5492154409369938,10000,50
0.2,6,0.5,0.5527898770940727,10000,50
0.2,6,0.5,0.5533698817482791,10000,50
0.2,6,0.6000000000000001,0.5451823076783004,10000,50
0.2,6,0.6000000000000001,0.547030316303707,10000,50
0.2,6,0.6000000000000001,0.5510404923552252,10000,50
0.2,6,0.6000000000000001,0.5511096300470992,10000,50
0.2,6,0.6000000000000001,0.5552799208483346,10000,50
0.2,6,0.7000000000000001,0.5457152847259585,10000,50
0.2,6,0.7000000000000001,0.5460554386822632,10000,50
0.2,6,0.7000000000000001,0.5463867261356206,10000,50
0.2,6,0.7000000000000001,0.5519051839544376,10000,50
0.2,6,0.7000000000000001,0.5568395509577078,10000,50
0.2,6,0.8,0.5451589223931013,10000,50
0.2,6,0.8,0.5483181617620566,10000,50
0.2,6,0.8,0.5484483125533139,10000,50
0.2,6,0.8,0.552496593128445,10000,50
0.2,6,0.8,0.5525017166144709,10000,50
0.2,6,0.9,0.546527987037611,10000,50
0.2,6,0.9,0.5472210145662385,10000,50
0.2,6,0.9,0.5484125939194567,10000,50
0.2,6,0.9,0.5489023944844464,10000,50
0.2,6,0.9,0.5525236953678155,10000,50
0.2,7,0.0,0.545352460801386,0,50
0.2,7,0.0,0.5490329832032838,0,50
0.2,7,0.0,0.5505866814814746,0,50
0.2,7,0.0,0.5507190967896266,0,50
0.2,7,0.0,0.5511921457717535,0,50
0.2,7,0.1,0.5473167714317353,10000,50
0.2,7,0.1,0.5486735265353797,10000,50
0.2,7,0.1,0.5491424004241259,10000,50
0.2,7,0.1,0.55009831327589,10000,50
0.2,7,0.1,0.5556727326166794,10000,50
0.2,7,0.2,0.5469006695119634,10000,50
0.2,7,0.2,0.5474997192042766,10000,50
0.2,7,0.2,0.5478872993016548,10000,50
0.2,7,0.2,0.5488961495948379,10000,50
0.2,7,0.2,0.5545347075639273,10000,50
0.2,7,0.30000000000000004,0.544654990210711,10000,50
0.2,7,0.30000000000000004,0.545825907642975,10000,50
0.2,7,0.30000000000000004,0.5466585174987132,10000,50
0.2,7,0.30000000000000004,0.5490198752041503,10000,50
0.2,7,0.30000000000000004,0.5525729870607229,10000,50
0.2,7,0.4,0.5480606952758189,10000,50
